source_cui,target_cui
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C2880477,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0042170
C0042170,C0037267
C0042170,C0035298
C0042170,C4087406
C0042170,C4087406
C0042170,C0042170
C0042170,C4087406
C0042170,C4087406
C0042170,C0042170
C0042170,C4087406
C0042170,C4087406
C0042170,C4087406
C0042170,C4087549
C0042170,C4087549
C0042170,C4087549
C0042170,C4087549
C0042170,C4087549
C0042170,C4087549
C0042170,C4087549
C0333101,C0002940
C0333101,C0002940
C0333101,C0002940
C0333101,C0002940
C0333101,C0002940
C0333101,C0002940
C0333101,C0002940
C0333101,C0002940
C0333101,C0002940
C4049512,C0162291
C4049512,C0162291
C0027686,C0027686
C0027686,C0027686
C0027686,C0027686
C0027686,C0027686
C0027686,C0027686
C0027686,C0027686
C0027686,C0027686
C0027686,C0027686
C0019080,C2180571
C0019080,C2180720
C0019080,C2180646
C0019080,C2180795
C0019080,C2180870
C0019080,C2180946
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C1869102,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,C0019080
C0019080,
C0019080,
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0015402
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0042909,C0042909
C0035317,C2074137
C0035317,C2074235
C0035317,C2074265
C0035317,C2074174
C0035317,C2074324
C0035317,C2074364
C0035317,C2074407
C0035317,C2074445
C0035317,C2074533
C0035317,C2074563
C0035317,C2200398
C0035317,C2200391
C0035317,C2011445
C0035317,C2011434
C0035317,C2046996
C0035317,C2047022
C0035317,
C0035317,
C0035317,
C0035317,
C0035317,
C0035317,
C0035317,
C0035317,
C0035317,C0474358
C0035317,
C0035317,C0474358
C0035317,
C0035317,C0474358
C0035317,C0474358
C0035317,
C0035317,C0474358
C0035317,C0474358
C0035317,
C0035317,C0474358
C0035317,C0474358
C0035317,C0474358
C0035317,C0474358
C0035317,C0271046
C0035317,C0271046
C0035317,
C0035317,
C0035317,
C0035317,C0271046
C0035317,
C0035317,C0271046
C0035317,
C0035317,C0271046
C0035317,C0271046
C0035317,
C0035317,C0271046
C0035317,C0271046
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0858616
C0035317,C0860491
C0035317,C0860491
C0035317,C0860491
C0035317,C0860491
C0035317,C0860491
